episode_id	source_actor_id	target_actor_id	rel_type	strength	confidence	issue_tags	notes
ep1	qatar	israel_exec	mediates	0.90	0.95	hostage_sequencing|truce_terms	Qatar primary shuttle mediator; approached White House after Oct 7
ep1	qatar	hamas_doha	mediates	0.85	0.95	hostage_sequencing|prisoner_release	Qatar hosts Hamas Doha bureau; primary Hamas-side channel
ep1	egypt	israel_exec	mediates	0.50	0.80	foreign_hostage_track	Egypt co-mediates; separate Thai track via Egypt+Qatar
ep1	egypt	hamas_mil	mediates	0.60	0.80	foreign_hostage_track	Egyptian channel to Gaza military; Thai worker track
ep1	us	qatar	guarantees_or_monitoring	0.85	0.90	secret_cell|coordination	Sullivan tasked McGurk+Geltzer cell; extreme secrecy demanded
ep1	us	israel_exec	pressures	0.60	0.85	truce_terms	Burns+Barnea coordination channel
ep1	hamas_doha	hamas_mil	mediates	0.70	0.80	hostage_sequencing	Doha bureau interfaces with Gaza military on release logistics
ep1	hayya	hamas_doha	pressures	0.55	0.70	negotiating_positions	Hayya leads external negotiating channel
ep1	netanyahu	israel_exec	pressures	0.80	0.90	deal_approval	Netanyahu approves or rejects; conditional extensions tied to 10/day releases
ep1	hostage_families	israel_exec	pressures	0.50	0.85	hostage_release_priority	Civil society pressure for releases
ep1	icrc	israel_exec	implements_transfer	0.80	0.95	hostage_handover	ICRC convoy transfer operations from day one of releases
ep1	hamas_mil	icrc	implements_transfer	0.80	0.95	hostage_handover	Hamas transfers hostage custody to ICRC for handover
ep1	israel_exec	hamas_mil	conflict_background	1.00	1.00	ongoing_war	Active military operations; war resumes Dec 1 2023
ep1	foreign_govts	qatar	pressures	0.40	0.75	foreign_nationals	Thailand/Philippines/Germany seek national releases; German FM confirmed 4 nationals
ep1	idf	israel_exec	pressures	0.60	0.85	security_constraints|resumption_readiness	IDF maintains readiness to resume; shapes extension conditions
ep1	far_right_bloc	netanyahu	veto_or_exit_threat	0.35	0.70	coalition_stability	Coalition pressure present but less prominent in ep1
ep2	qatar	israel_exec	mediates	0.85	0.95	phased_release|ceasefire_terms	Paris framework hammered out with Qatar PM
ep2	qatar	hamas_doha	mediates	0.80	0.90	phased_release|prisoner_terms	Qatar relays Hamas positions; Paris meeting with Qatar PM
ep2	egypt	israel_exec	mediates	0.70	0.90	paris_framework	Abbas Kamel co-negotiates Paris framework
ep2	egypt	hamas_pol	mediates	0.65	0.85	phased_release	Egypt channels to Hamas political leadership
ep2	us	israel_exec	pressures	0.70	0.90	paris_framework	Burns leads US side; Barnea Israeli counterpart
ep2	us	qatar	guarantees_or_monitoring	0.80	0.90	framework_coordination	Burns/Barnea/Qatar PM/Kamel core channel
ep2	hamas_pol	hamas_doha	pressures	0.60	0.75	ceasefire_permanence_demand	Hamas political demands permanent ceasefire guarantee
ep2	hamas_doha	hamas_mil	mediates	0.60	0.75	internal_positions	Doha relays Gaza military custody holders
ep2	hamas_hardline	hamas_mil	veto_or_exit_threat	0.55	0.70	demands_permanence	Hamas rejects Israeli counterproposal as unrealistic; internal blocking
ep2	netanyahu	israel_exec	pressures	0.80	0.90	war_aims_constraint	Netanyahu resists war-ending framing
ep2	idf	israel_exec	pressures	0.70	0.85	withdrawal_geometry|security	Withdrawal geometry emerging as key constraint
ep2	far_right_bloc	netanyahu	veto_or_exit_threat	0.55	0.75	coalition_stability	Coalition veto threat grows
ep2	hostage_families	israel_exec	pressures	0.55	0.80	hostage_release_priority
ep2	israel_exec	hamas_mil	conflict_background	1.00	1.00	ongoing_war	War continues during framework talks
ep3	us	israel_exec	pressures	0.85	0.95	three_phase_plan	Biden announces plan May 31; pressures Israel to accept
ep3	us	hamas_pol	pressures	0.65	0.80	three_phase_plan	US calls on Hamas to accept UNSC-backed plan
ep3	qatar	israel_exec	mediates	0.80	0.90	phase_one_terms
ep3	qatar	hamas_doha	mediates	0.75	0.90	phase_one_terms
ep3	egypt	israel_exec	mediates	0.65	0.85	implementation
ep3	egypt	hamas_pol	mediates	0.62	0.80	implementation
ep3	unsc	us	endorses_or_legitimizes	0.90	0.95	Resolution_2735	UNSC voted 14-0-1 for Resolution 2735 on June 10 2024
ep3	unsc	israel_exec	endorses_or_legitimizes	0.50	0.80	Resolution_2735	Resolution urges Israel to accept plan
ep3	unsc	hamas_pol	pressures	0.45	0.75	Resolution_2735	Resolution urges Hamas to accept; Hamas welcomed UNSC language
ep3	hamas_pol	hamas_doha	pressures	0.60	0.80	permanent_ceasefire_demand	Hamas emphasizes permanent ceasefire; UNSC language welcomed by Hamas
ep3	hamas_doha	hamas_mil	mediates	0.55	0.75	internal_positions
ep3	netanyahu	israel_exec	pressures	0.80	0.90	phase_two_resistance	Israel resists permanent ceasefire framing in phase two
ep3	idf	israel_exec	pressures	0.70	0.85	withdrawal_geometry	Full withdrawal in phase 2 contested
ep3	far_right_bloc	netanyahu	veto_or_exit_threat	0.65	0.80	coalition_stability	Coalition veto pressure intensifies
ep3	hostage_families	israel_exec	pressures	0.60	0.85	hostage_release_priority
ep3	un_humanitarian	unsc	pressures	0.50	0.70	aid_access	600 trucks/day provision in plan; humanitarian pressure
ep3	israel_exec	hamas_mil	conflict_background	1.00	1.00	ongoing_war
ep4	us	israel_exec	pressures	0.80	0.90	bridging_proposal|corridor_compromise	US presses bridging proposals; corridor compromise attempts
ep4	us	qatar	pressures	0.90	0.95	doha_hamas_presence	Nov 2024: US tells Qatar Hamas Doha presence no longer acceptable
ep4	qatar	israel_exec	mediates	0.70	0.85	corridor_terms	Qatar shuttles on corridor compromises
ep4	qatar	hamas_doha	mediates	0.72	0.85	corridor_terms|prisoner_exile	Doha bureau presence itself becomes a variable under US pressure
ep4	egypt	israel_exec	mediates	0.75	0.90	philadelphi_corridor	Egypt rejects Israeli troop presence along Philadelphi; sensitive for Cairo
ep4	egypt	hamas_pol	mediates	0.62	0.80	corridor_terms
ep4	idf	israel_exec	pressures	0.88	0.95	netzarim_corridor|philadelphi_corridor	IDF demands corridor troop presence; shapes Israeli negotiating floor
ep4	netanyahu	israel_exec	pressures	0.85	0.90	corridor_posture|coalition_constraints	Netanyahu holds corridor position; coalition constraints
ep4	far_right_bloc	netanyahu	veto_or_exit_threat	0.85	0.90	anti_deal_veto	Strong blocking power this episode; Ben-Gvir threatens resignation
